Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,92,avg_right_torque_effectiveness,uint8,
,93,avg_left_pedal_smoothness,uint8,
,94,avg_right_pedal_smoothness,uint8,
,95,avg_combined_pedal_smoothness,uint8,
,98,time_standing,uint32,
,99,stand_count,uint16,
,100,avg_left_pco,sint8,
,101,avg_right_pco,sint8,
,102,avg_left_power_phase,uint8,[N]
,103,avg_left_power_phase_peak,uint8,[N]
,104,avg_right_power_phase,uint8,[N]
,105,avg_right_power_phase_peak,uint8,[N]
,106,avg_power_position,uint16,[N]
,107,max_power_position,uint16,[N]
,108,avg_cadence_position,uint8,[N]
,109,max_cadence_position,uint8,[N],,,,,,,,,,,
,110,enhanced_avg_speed,uint32,,,,,,,,,,,,1
,111,enhanced_max_speed,uint32,,,,,,,,,,,,1
,112,enhanced_avg_altitude,uint32,,,,,,,,,,,,1
,113,enhanced_min_altitude,uint32,,,,,,,,,,,,1
,114,enhanced_max_altitude,uint32,,,,,,,,,,,,1
,115,avg_lev_motor_power,uint16,,,,,,,,,,,,
,116,max_lev_motor_power,uint16,,,,,,,,,,,,
,117,lev_battery_consumption,uint8,,,,,,,,,,,,
,118,avg_vertical_ratio,uint16,,,,,,,,,,,,
,119,avg_stance_time_balance,uint16,,,,,,,,,,,,
,120,avg_step_length,uint16,,,,,,,,,,,,

length,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,,,,,,,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,total_elapsed_time,uint32,,,,,,,,,,,,1
,4,total_timer_time,uint32,,,,,,,,,,,,1
,5,total_strokes,uint16,,,,,,,,,,,,1
,6,avg_speed,uint16,,,,,,,,,,,,1
,7,swim_stroke,swim_stroke,,,,,,,,,,,,1
,9,avg_swimming_cadence,uint8,,,,,,,,,,,,1
,10,event_group,uint8,,,,,,,,,,,,1
,11,total_calories,uint16,,,,,,,,,,,,1
,12,length_type,length_type,,,,,,,,,,,,1
,18,player_score,uint16,,,,,,,,,,,,1
,19,opponent_score,uint16,,,,,,,,,,,,1
,20,stroke_count,uint16,[N],,,,,,,,,,,1
,21,zone_count,uint16,[N],,,,,,,,,,,1

record,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,position_lat,sint32,,,,,,,,,,,,1
,1,position_long,sint32,,,,,,,,,,,,1
,2,altitude,uint16,,,,,,,,,,,,1
,3,heart_rate,uint8,,,,,,,,,,,,1
,4,cadence,uint8,,,,,,,,,,,,1
,5,distance,uint32,,,,,,,,,,,,1
,6,speed,uint16,,,,,,,,,,,,1
,7,power,uint16,,,,,,,,,,,,1
,8,compressed_speed_distance,byte,[3],,,,,,,,,,,1
,9,grade,sint16,,,,,,,,,,,,1
,10,resistance,uint8,,,,,,,,,,,,1
,11,time_from_course,sint32,,,,,,,,,,,,1
,12,cycle_length,uint8,,,,,,,,,,,,1
,13,temperature,sint8,,,,,,,,,,,,1
